"Matricula","situacaoDisciplina","Classificao","numeroMatriculas","anoNascimento","Sexo","idGrade","idDisciplina","idSerie","EscolaridadeResponsavel","idEstadoCivilResponsavel","Total_Faltas","numeroReprovacoes","AprovacoesComExelencia"
"004210141297",MUITO BOM/APROVADO,112,1,2005,M,4,59,49,6,2,0,1,13
"004003016140339",NÃO VAI CURSAR A DISCIPLINA,109,1,2001,F,4,47,50,6,2,0,1,3
"0030010020180210",BRILHANTE/APROVADO,114,1,2005,M,4,27,48,2,2,0,1,13
"004230140984",BOM/APROVADO,111,2,2007,F,4,8,48,6,2,2,15,12
"004220140567",EXCELENTE/APROVADO,113,3,2006,M,4,47,48,1,2,3,5,11
"004220140376",MUITO BOM/APROVADO,112,1,2006,F,4,59,49,1,2,0,3,7
"004220180170",REPROVADO,107,1,2007,F,4,72,48,1,2,1,5,13
"004230170138",MUITO BOM/APROVADO,112,2,2007,M,4,34,49,1,2,0,13,12
"004003016140420",MUITO BOM/APROVADO,112,1,2001,M,4,8,50,6,2,0,1,12
"004210141427",BRILHANTE/APROVADO,114,1,2003,M,4,34,50,6,2,0,1,13
"004210130069",MUITO BOM/APROVADO,112,1,2004,M,4,3,49,1,5,0,0,13
"004230110138",BOM/APROVADO,111,1,2019,M,4,8,49,6,1,0,13,3
"004230140504",BOM/APROVADO,111,1,2006,M,4,49,50,6,2,0,0,5
"004230140450",EXCELENTE/APROVADO,113,1,2006,M,4,63,49,1,2,0,13,13
"004210200153",BOM/APROVADO,111,1,2006,M,4,26,48,1,7,0,0,11
"004230190261",APROVADO,104,1,2007,M,4,50,49,1,1,0,13,1
"004230110138",APROVADO,104,1,2019,M,4,27,49,6,1,0,13,3
"004220130240",MUITO BOM/APROVADO,112,2,2007,F,4,63,48,1,2,2,5,12
"004003019140219",MUITO BOM/APROVADO,112,1,2001,M,4,49,50,6,2,0,0,9
"004002020141061",EXCELENTE/APROVADO,113,1,2004,M,4,26,49,6,2,0,2,13
"004003020140380",EXCELENTE/APROVADO,113,2,2003,F,4,49,50,6,2,0,2,13
"004220140494",MUITO BOM/APROVADO,112,1,2007,F,4,8,48,6,2,0,5,9
"004230130233",MUITO BOM/APROVADO,112,1,2006,F,4,27,50,6,2,0,0,11
"004003016140863",BOM/APROVADO,111,1,2001,M,4,34,50,6,2,0,0,5
"004210140277",BRILHANTE/APROVADO,114,1,2005,M,4,60,49,6,2,0,1,13
"0030010016140253",BOM/APROVADO,111,1,2002,M,4,40,48,6,2,0,1,4
"004003020140213",BOM/APROVADO,111,1,2003,M,4,26,50,1,2,0,2,11
"004003019130265",BOM/APROVADO,111,1,2002,F,4,19,50,6,2,0,0,13
"004230230160",REPROVADO,107,2,2007,F,4,72,49,1,4,0,13,13
"004220220088",APROVADO,104,5,2006,F,4,59,48,6,2,6,0,0
"004002019140819",BOM/APROVADO,111,1,2003,F,4,8,49,6,4,0,0,5
"004003016140176",MUITO BOM/APROVADO,112,1,2001,F,4,27,50,6,2,0,1,13
"004230230229",REPROVADO,107,1,2006,F,4,105,49,1,1,0,13,10
"004230210065",EXCELENTE/APROVADO,113,1,2007,M,4,47,49,2,4,0,13,13
"004002019060009",REPROVADO,107,1,2002,F,4,49,49,2,2,0,13,0
"004220140421",EXCELENTE/APROVADO,113,1,2005,F,4,49,50,6,2,0,2,13
"004210140766",MUITO BOM/APROVADO,112,1,2005,F,4,50,49,6,4,0,0,13
"004210140437",MUITO BOM/APROVADO,112,1,2004,F,4,38,50,6,2,0,1,13
"004230160351",MUITO BOM/APROVADO,112,3,2007,F,4,40,48,2,1,3,15,12
"004220200239",MUITO BOM/APROVADO,112,1,2004,F,4,27,50,2,5,0,2,13
"004220190224",MUITO BOM/APROVADO,112,1,2006,M,4,47,48,1,2,1,5,11
"004002016130018",MUITO BOM/APROVADO,112,1,2002,M,4,50,49,1,1,0,0,3
"0030010019150131",BOM/APROVADO,111,1,2004,M,4,3,48,1,2,0,0,6
"004002019130023",MUITO BOM/APROVADO,112,1,2003,F,4,47,49,6,2,0,0,5
"004230140527",REPROVADO,107,1,2006,M,4,105,49,6,1,0,13,7
"0030010020140722",MUITO BOM/APROVADO,112,5,2005,M,4,26,48,1,2,0,2,13
"004002019140244",BOM/APROVADO,111,1,2003,F,4,59,49,1,2,0,0,4
"004210140517",EXCELENTE/APROVADO,113,1,2006,M,4,63,48,1,2,0,1,13
"004230150205",MUITO BOM/APROVADO,112,2,2006,F,4,60,49,6,2,0,13,13
"004230150038",MUITO BOM/APROVADO,112,1,2007,M,4,38,49,6,1,0,13,6
"004200200114",MUITO BOM/APROVADO,112,1,2005,F,4,34,48,1,2,0,1,13
"004002019170168",MUITO BOM/APROVADO,112,1,2003,F,4,26,49,1,2,0,0,12
"004002019180185",MUITO BOM/APROVADO,112,1,2002,M,4,59,49,1,2,0,0,3
"004220180228",REPROVADO,107,1,2006,M,4,34,48,1,4,1,8,1
"004210140376",EXCELENTE/APROVADO,113,1,2006,F,4,34,48,6,2,0,0,13
"004210140541",MUITO BOM/APROVADO,112,1,2006,M,4,38,48,1,1,0,0,13
"004230230229",MUITO BOM/APROVADO,112,1,2006,F,4,47,49,1,1,0,13,10
"004220220165",BOM/APROVADO,111,1,2004,M,4,49,50,1,2,0,2,1
"004003019170377",MUITO BOM/APROVADO,112,1,2002,M,4,3,50,2,2,0,0,10
